time,latitude,longitude,depth,mag,net,id
18280,61.8383,-149.7162,41.9,1.3,ak,ak0247g04elg
18260,17.80516667,-65.90966667,10.29,3.24,pr,pr71452038
18240,37.83266667,-113.0998333,10.14,1.26,uu,uu80072616
18220,19.15433311,-155.4436646,5.829999924,1.97000003,hv,hv74270876
18200,35.6425,-117.478,5.78,0.52,ci,ci40618447
18180,35.6436667,-117.4731667,6.15,0.8,ci,ci40618439
18160,34.0568352,-116.8205032,13.73,0.92,ci,ci40618431
18140,38.82300186,-122.7659988,2.400000095,0.86,nc,nc75020202
18120,33.1736667,-116.588,13.32,0.59,ci,ci40618415
18100,32.423,-101.545,5.9326,2.4,tx,tx2024limx
18080,36.54600143,-121.0806656,3.869999886,1.45,nc,nc75020192
18060,38.1857,-117.8264,6.7,1.2,nn,nn00878984
18040,59.6525,-153.2274,22.9,1.6,ak,ak0247fzicsl
18020,61.8514,-149.5406,30.5,1.8,ak,ak0247fzhw8u
18000,30.97,-103.561,9.4067,1.8,tx,tx2024lima
17980,23.6476,122.8596,36.681,5,us,us7000mrf2
17960,-12.7488,166.6986,128.663,5.3,us,us7000mrez
17940,60.1243,-139.4916,0,1.9,ak,ak0247fz53v7
17920,-5.6014,145.9681,54.202,4.6,us,us7000mrex
17900,-18.7838,65.1584,10,5,us,us7000mrf1
17880,51.79616667,-178.8416667,18.92,0.59,av,av93157656
17860,37.9205,68.1922,10.905,4.5,us,us7000mrev
17840,38.80550003,-122.81633,2.910000086,0.85,nc,nc75020167
17820,38.81850052,-122.8353348,0.360000014,0.76,nc,nc75020157
17800,38.81816483,-122.8351669,0.349999994,0.76,nc,nc75020152
17780,38.8093338,-122.8190002,1.870000005,0.76,nc,nc75020147
17760,-3.3804,126.8929,10,4.7,us,us7000mres
17740,38.80183411,-122.819664,2.890000105,0.76,nc,nc75020137
17720,38.80983353,-122.8105011,1.019999981,0.95,nc,nc75020132
17700,36.7685,-116.2581,4.4,0.8,nn,nn00878969
17680,33.8571667,-117.0268333,9.21,1.24,ci,ci40618375
17660,33.9901667,-117.2338333,13.56,2.18,ci,ci40618359
17640,38.82450104,-122.8310013,2.200000048,1,nc,nc75020117
17620,31.735,-104.529,5.3821,1.7,tx,tx2024liie
17600,40.527668,-124.4411697,19.19000053,2.18,nc,nc75020112
17580,33.4655,-116.4906667,13.58,0.56,ci,ci40618343
17560,-5.9763,131.1394,64.586,4.5,us,us7000mrek
17540,36.00650024,-120.5651703,3.539999962,0.87,nc,nc75020102
17520,35.71649933,-120.8980026,1.75999999,1.31,nc,nc75020097
17500,33.671,-116.7528333,14.92,0.61,ci,ci40618335
17480,33.1728333,-116.5848333,13.52,0.52,ci,ci40618327
17460,19.39033318,-155.2774963,1.399999976,2.45,hv,hv74270681
17440,19.39866638,-155.2819977,1.049999952,1.77999997,hv,hv74270671
17420,46.64283333,-121.844,5.02,0.8,uw,uw62005642
17400,48.72833252,-123.5438309,14.10000038,1.33000004,uw,uw62005637
17380,35.3846667,-117.7511667,6.71,0.9,ci,ci40618319
17360,34.1485,-84.03866667,2.34,2.27,se,se60584946
17340,33.0543333,-116.4101667,10.9,0.98,ci,ci40618303
17320,35.0326667,-117.6855,-0.84,1.62,ci,ci40618287
17300,51.9845,178.3266667,3.79,1.11,av,av93157496
17280,38.8176651,-122.8239975,2.710000038,0.44,nc,nc75020077
17260,38.82749939,-122.8016663,1.669999957,1.08,nc,nc75020072
17240,38.82783508,-122.8016663,1.639999986,0.22,nc,nc75020067
17220,60.8915,-148.9175,15.7,2.1,ak,ak0247enhkpa
17200,-2.9977,127.7875,42.218,4.6,us,us7000mreb
17180,18.019,-66.94583333,11.41,2.27,pr,pr71452033
17160,35.535,-96.75766667,6.62,1.73,ok,ok2024licn
17140,34.8308333,-116.3371667,7.94,1,ci,ci40618263
17120,18.095,-64.27316667,20.32,3.36,pr,pr71452023
17100,19.39866667,-155.263,1.04,0.65,hv,hv74270581
17080,19.398,-155.2635,1.08,1.14,hv,hv74270491
17060,63.215,-151.1117,0,1.3,ak,ak0247em9t3p
17040,34.018,-117.2341667,15.91,1.81,ci,ci40618207
17020,33.5918333,-116.8016667,9.53,0.36,ci,ci40618191
17000,38.82783508,-122.8573303,2.49000001,0.81,nc,nc75020032
16980,38.80216599,-122.8216629,3.74000001,0.87,nc,nc75020027
16960,61.1727,-146.7244,35.9,1.9,ak,ak0247em1huj
16940,33.4085,-116.6565,3.97,1.62,ci,ci40618183
16920,35.9681667,-117.6533333,3.87,1.22,ci,ci40618175
16900,19.39766693,-155.267334,0.829999983,1.73000002,hv,hv74270401
16880,-6.3382,146.5097,97.973,4.8,us,us7000mre0
16860,38.80516815,-122.8136673,2.160000086,0.79,nc,nc75020012
16840,38.81916809,-122.8256683,1.129999995,0.85,nc,nc75020002
16820,31.663,-104.285,7.843,1.5,tx,tx2024lhwu
16800,38.81083298,-122.8176651,2.24000001,1.07,nc,nc75019992
16780,35.4375,-118.3755,5.15,1.58,ci,ci40618159
